academic_period,disability_status,qualification,estimate_pct,employment_rate
July 2020 to June 2021,Disabled,Degree or equivalent,24.9,51.6246040266439
July 2020 to June 2021,Disabled,Higher Education,8.3,51.6246040266439
July 2020 to June 2021,Disabled,GCE A level or equivalent,20.6,51.6246040266439
July 2020 to June 2021,Disabled,GCSE grades C and higher or equivalent,23.3,51.6246040266439
July 2020 to June 2021,Disabled,Other qualification,9.6,51.6246040266439
July 2020 to June 2021,Disabled,No qualification,13.3,51.6246040266439
July 2020 to June 2021,Non-disabled,Degree or equivalent,42.7,80.84203463424102
July 2020 to June 2021,Non-disabled,Higher Education,8.6,80.84203463424102
July 2020 to June 2021,Non-disabled,GCE A level or equivalent,19.7,80.84203463424102
July 2020 to June 2021,Non-disabled,GCSE grades C and higher or equivalent,17.4,80.84203463424102
July 2020 to June 2021,Non-disabled,Other qualification,7,80.84203463424102
July 2020 to June 2021,Non-disabled,No qualification,4.6,80.84203463424102
