period,group,sex,metric,value_pct
Oct-Dec 2015,Non-disabled,People,Unemployed,4.35553232724101
Oct-Dec 2015,Non-disabled,People,Economically active,83.9253316531776
Oct-Dec 2015,Non-disabled,People,Economically inactive,16.0746683468224
Jan-Mar 2016,Disabled,People,In Employment,46.8518415028913
Jan-Mar 2016,Disabled,People,Unemployed,10.5895189778309
Jan-Mar 2016,Disabled,People,Economically active,52.400838209644
Jan-Mar 2016,Disabled,People,Economically inactive,47.599161790356
Jan-Mar 2016,Non-disabled,People,In Employment,79.9334967583557
Jan-Mar 2016,Non-disabled,People,Unemployed,4.44539418791894
Jan-Mar 2016,Non-disabled,People,Economically active,83.6521652504684
Jan-Mar 2016,Non-disabled,People,Economically inactive,16.3478347495316
Apr-Jun 2016,Disabled,People,In Employment,47.8581920769266
Apr-Jun 2016,Disabled,People,Unemployed,10.0172133930276
Apr-Jun 2016,Disabled,People,Economically active,53.1859413133781
Apr-Jun 2016,Disabled,People,Economically inactive,46.8140586866219
Apr-Jun 2016,Non-disabled,People,In Employment,80.0645048451509
Apr-Jun 2016,Non-disabled,People,Unemployed,4.2839813623336
Apr-Jun 2016,Non-disabled,People,Economically active,83.647968213383
Apr-Jun 2016,Non-disabled,People,Economically inactive,16.352031786617
Jul-Sep 2016,Disabled,People,In Employment,48.2277482652177
Jul-Sep 2016,Disabled,People,Unemployed,10.0158822613001
Jul-Sep 2016,Disabled,People,Economically active,53.5958449970734
Jul-Sep 2016,Disabled,People,Economically inactive,46.4041550029266
Jul-Sep 2016,Non-disabled,People,In Employment,80.4972171441738
Jul-Sep 2016,Non-disabled,People,Unemployed,4.5046096187985
Jul-Sep 2016,Non-disabled,People,Economically active,84.29434847362
Jul-Sep 2016,Non-disabled,People,Economically inactive,15.70565152638
Oct-Dec 2016,Disabled,People,In Employment,49.5106863496731
Oct-Dec 2016,Disabled,People,Unemployed,9.24621234629599
Oct-Dec 2016,Disabled,People,Economically active,54.5549531647039
Oct-Dec 2016,Disabled,People,Economically inactive,45.4450468352961
Oct-Dec 2016,Non-disabled,People,In Employment,80.3287846583268
Oct-Dec 2016,Non-disabled,People,Unemployed,4.10059097939331
Oct-Dec 2016,Non-disabled,People,Economically active,83.7635867402123
Oct-Dec 2016,Non-disabled,People,Economically inactive,16.2364132597877
Jan-Mar 2017,Disabled,People,In Employment,48.960341112155
Jan-Mar 2017,Disabled,People,Unemployed,9.12592277533981
Jan-Mar 2017,Disabled,People,Economically active,53.8771260269466
Jan-Mar 2017,Disabled,People,Economically inactive,46.1228739730534
Jan-Mar 2017,Non-disabled,People,In Employment,80.2431222498747
Jan-Mar 2017,Non-disabled,People,Unemployed,4.06745502807162
Jan-Mar 2017,Non-disabled,People,Economically active,83.6453596361436
Jan-Mar 2017,Non-disabled,People,Economically inactive,16.3546403638564
Apr-Jun 2017,Disabled,People,In Employment,49.1738836257613
Apr-Jun 2017,Disabled,People,Unemployed,9.01839001695943
Apr-Jun 2017,Disabled,People,Economically active,54.048157242906
Apr-Jun 2017,Disabled,People,Economically inactive,45.951842757094
Apr-Jun 2017,Non-disabled,People,In Employment,80.5525456382999
Apr-Jun 2017,Non-disabled,People,Unemployed,3.82834123656789
Apr-Jun 2017,Non-disabled,People,Economically active,83.7591309893564
Apr-Jun 2017,Non-disabled,People,Economically inactive,16.2408690106436
Jul-Sep 2017,Disabled,People,In Employment,49.7601164234958
Jul-Sep 2017,Disabled,People,Unemployed,9.46579089469035
Jul-Sep 2017,Disabled,People,Economically active,54.9627780650458
Jul-Sep 2017,Disabled,People,Economically inactive,45.0372219349542
Jul-Sep 2017,Non-disabled,People,In Employment,81.0714958452798
Jul-Sep 2017,Non-disabled,People,Unemployed,3.80195061780025
